{'loss': 1.282, 'grad_norm': 26.85930633544922, 'learning_rate': 0.0, 'epoch': 0.01}                                                                                                       
{'loss': 1.2892, 'grad_norm': 30.319597244262695, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.02}                                                                                  
{'loss': 1.2516, 'grad_norm': 27.256031036376953, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.03}                                                                                  
{'loss': 1.1045, 'grad_norm': 15.505760192871094, 'learning_rate': 3e-06, 'epoch': 0.04}                                                                                                   
{'loss': 0.9594, 'grad_norm': 14.311664581298828, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.05}                                                                                   
{'loss': 0.8508, 'grad_norm': 29.399200439453125, 'learning_rate': 5e-06, 'epoch': 0.06}                                                                                                   
{'loss': 0.6934, 'grad_norm': 11.044919967651367, 'learning_rate': 6e-06, 'epoch': 0.06}                                                                                                   
{'loss': 0.9227, 'grad_norm': 23.403919219970703, 'learning_rate': 7e-06, 'epoch': 0.07}                                                                                                   
{'loss': 0.7435, 'grad_norm': 11.0263090133667, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.08}                                                                                     
{'loss': 0.9656, 'grad_norm': 27.31285285949707, 'learning_rate': 9e-06, 'epoch': 0.09}                                                                                                    
{'loss': 0.9361, 'grad_norm': 23.762975692749023, 'learning_rate': 1e-05, 'epoch': 0.1}                                                                                                    
{'loss': 1.5091, 'grad_norm': 57.85033416748047, 'learning_rate': 9.88888888888889e-06, 'epoch': 0.11}                                                                                     
{'loss': 0.8098, 'grad_norm': 21.512130737304688, 'learning_rate': 9.777777777777779e-06, 'epoch': 0.12}                                                                                   
{'loss': 0.6776, 'grad_norm': 9.068709373474121, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.13}                                                                                    
{'loss': 0.6757, 'grad_norm': 8.853137969970703, 'learning_rate': 9.555555555555556e-06, 'epoch': 0.14}                                                                                    
{'loss': 0.6678, 'grad_norm': 6.785581588745117, 'learning_rate': 9.444444444444445e-06, 'epoch': 0.15}                                                                                    
{'loss': 0.7908, 'grad_norm': 12.841584205627441, 'learning_rate': 9.333333333333334e-06, 'epoch': 0.16}                                                                                   
{'loss': 0.6837, 'grad_norm': 7.290236949920654, 'learning_rate': 9.222222222222224e-06, 'epoch': 0.17}                                                                                    
{'loss': 0.7048, 'grad_norm': 8.823163032531738, 'learning_rate': 9.111111111111112e-06, 'epoch': 0.17}                                                                                    
{'loss': 0.5953, 'grad_norm': 5.653096675872803, 'learning_rate': 9e-06, 'epoch': 0.18}                                                                                                    
{'loss': 0.5678, 'grad_norm': 5.079634666442871, 'learning_rate': 8.888888888888888e-06, 'epoch': 0.19}                                                                                    
{'loss': 0.5985, 'grad_norm': 5.666517734527588, 'learning_rate': 8.777777777777778e-06, 'epoch': 0.2}                                                                                     
{'loss': 0.6079, 'grad_norm': 6.7653608322143555, 'learning_rate': 8.666666666666668e-06, 'epoch': 0.21}                                                                                   
{'loss': 0.5843, 'grad_norm': 4.945924282073975, 'learning_rate': 8.555555555555556e-06, 'epoch': 0.22}                                                                                    
{'loss': 0.5399, 'grad_norm': 3.7980377674102783, 'learning_rate': 8.444444444444446e-06, 'epoch': 0.23}                                                                                   
{'loss': 0.4873, 'grad_norm': 3.918937921524048, 'learning_rate': 8.333333333333334e-06, 'epoch': 0.24}                                                                                    
{'loss': 0.5104, 'grad_norm': 3.6334238052368164, 'learning_rate': 8.222222222222222e-06, 'epoch': 0.25}                                                                                   
{'loss': 0.5828, 'grad_norm': 4.375843048095703, 'learning_rate': 8.111111111111112e-06, 'epoch': 0.26}                                                                                    
{'loss': 0.619, 'grad_norm': 7.816579341888428, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.27}                                                                                     
{'loss': 0.5265, 'grad_norm': 5.823568344116211, 'learning_rate': 7.88888888888889e-06, 'epoch': 0.28}                                                                                     
{'loss': 0.5259, 'grad_norm': 4.76709508895874, 'learning_rate': 7.77777777777778e-06, 'epoch': 0.28}                                                                                      
{'loss': 0.4798, 'grad_norm': 2.8400120735168457, 'learning_rate': 7.666666666666667e-06, 'epoch': 0.29}                                                                                   
{'loss': 0.5207, 'grad_norm': 3.076967477798462, 'learning_rate': 7.555555555555556e-06, 'epoch': 0.3}                                                                                     
